trip_id,distance_km,traffic_density,weather_impact,day_of_week,hour_of_day,actual_time_mins,timestamp,avg_speed_kmh
1,110.62,1,1.1,0,8,173.37,2026-05-13 14:51:57,38.28344004152968
2,21.78,6,1.3,4,5,82.9,2026-05-13 14:51:57,15.763570566948129
3,80.8,10,1.9,1,8,184.64,2026-05-13 14:51:57,26.256499133448873
4,41.26,5,1.2,6,5,106.96,2026-05-13 14:51:57,23.1451009723261
5,54.16,7,1.2,4,16,137.46,2026-05-13 14:51:57,23.640331732867743
6,143.98,3,1.9,0,3,218.6,2026-05-13 14:51:57,39.51875571820677
7,14.19,9,1.6,3,13,104.32,2026-05-13 14:51:57,8.161426380368098
8,74.38,9,1.8,3,8,174.85,2026-05-13 14:51:57,25.5235916499857
9,119.51,7,1.2,5,9,214.14,2026-05-13 14:51:57,33.48557018772766
10,32.11,10,1.0,4,3,127.34,2026-05-13 14:51:57,15.129574367834145
11,107.63,3,1.8,5,14,174.21,2026-05-13 14:51:57,37.06905458928878
12,97.68,1,1.4,1,11,145.53,2026-05-13 14:51:57,40.27210884353742
13,6.49,1,1.9,0,20,58.01,2026-05-13 14:51:57,6.712635752456474
14,50.28,3,1.9,1,19,109.07,2026-05-13 14:51:57,27.65930136609517
15,49.59,10,1.4,5,3,136.35,2026-05-13 14:51:57,21.821782178217823
16,105.65,3,1.3,4,0,166.4,2026-05-13 14:51:57,38.09495192307693
17,124.54,5,1.3,6,6,205.17,2026-05-13 14:51:57,36.42052931715163
18,100.47,10,1.5,1,12,211.95,2026-05-13 14:51:57,28.441613588110407
19,132.03,8,1.9,3,18,248.92,2026-05-13 14:51:57,31.8246826289571
20,19.03,5,1.9,4,23,83.0,2026-05-13 14:51:57,13.756626506024098
21,35.76,3,1.0,6,1,88.44,2026-05-13 14:51:57,24.260515603799185
22,92.26,2,1.2,4,23,159.14,2026-05-13 14:51:57,34.784466507477696
23,29.91,4,1.9,4,22,96.48,2026-05-13 14:51:57,18.600746268656714
25,37.27,7,1.4,2,1,107.9,2026-05-13 14:51:57,20.72474513438369
26,115.22,6,1.5,0,2,195.76,2026-05-13 14:51:57,35.31467102574581
27,65.01,3,1.8,6,22,128.58,2026-05-13 14:51:57,30.335977601493234
28,71.32,7,1.2,0,0,149.69,2026-05-13 14:51:57,28.587079965261537
29,83.28,6,1.5,5,11,165.73,2026-05-13 14:51:57,30.15024437337839
30,132.74,10,1.4,5,0,245.76,2026-05-13 14:51:57,32.4072265625
31,16.02,3,1.6,0,9,74.62,2026-05-13 14:51:57,12.881265076387027
32,39.02,2,1.2,2,22,76.81,2026-05-13 14:51:57,30.480406197109755
33,132.29,10,1.4,2,3,242.63,2026-05-13 14:51:57,32.714008984874084
34,17.61,4,1.1,3,7,78.61,2026-05-13 14:51:57,13.441038035873298
35,117.7,6,1.9,4,7,219.81,2026-05-13 14:51:57,32.12774669032346
36,147.56,7,1.4,5,19,247.05,2026-05-13 14:51:57,35.837279902853666
37,76.3,2,1.9,0,3,141.46,2026-05-13 14:51:57,32.36250530185211
38,105.46,10,1.0,5,17,213.59,2026-05-13 14:51:57,29.624982442998267
39,113.54,10,1.1,1,10,208.28,2026-05-13 14:51:57,32.707893220664495
40,94.76,7,1.2,3,0,178.25,2026-05-13 14:51:57,31.89677419354839
41,11.39,9,1.3,0,3,90.1,2026-05-13 14:51:57,7.58490566037736
42,148.15,5,1.7,2,9,234.36,2026-05-13 14:51:57,37.928827444956475
43,114.53,1,1.3,0,9,171.13,2026-05-13 14:51:57,40.155437386781976
44,129.58,10,1.0,1,6,230.64,2026-05-13 14:51:57,33.70967741935484
45,34.68,4,1.9,1,1,109.98,2026-05-13 14:51:57,18.919803600654664
46,97.28,1,1.1,6,3,141.84,2026-05-13 14:51:57,41.15059221658207
47,53.52,7,1.0,3,3,134.52,2026-05-13 14:51:57,23.871543264942016
48,143.39,3,1.3,3,7,219.72,2026-05-13 14:51:57,39.156198798470776
49,15.3,4,1.7,0,11,82.04,2026-05-13 14:51:57,11.189663578742076
50,52.12,9,1.9,2,22,144.26,2026-05-13 14:51:57,21.67752668792458
51,53.82,3,1.3,2,0,104.2,2026-05-13 14:51:57,30.990403071017273
52,62.37,9,1.5,5,4,157.18,2026-05-13 14:51:57,23.808372566484284
53,57.67,5,1.6,3,19,127.95,2026-05-13 14:51:57,27.043376318874564
54,89.86,6,1.1,1,22,162.65,2026-05-13 14:51:57,33.14847832769751
55,38.48,2,1.5,1,23,80.9,2026-05-13 14:51:57,28.538936959208897
56,18.18,8,1.1,3,7,94.06,2026-05-13 14:51:57,11.59685307250691
57,48.1,6,1.8,2,4,131.19,2026-05-13 14:51:57,21.998627944203065
58,25.47,8,1.8,4,1,108.91,2026-05-13 14:51:57,14.031769350840143
59,19.12,1,1.1,0,3,53.74,2026-05-13 14:51:57,21.34722739114254
60,69.71,5,1.6,3,14,145.7,2026-05-13 14:51:57,28.706932052161974
61,98.12,6,1.2,3,3,174.12,2026-05-13 14:51:57,33.81116471399035
62,28.75,4,1.8,0,21,89.08,2026-05-13 14:51:57,19.36461607543781
63,19.6,3,1.3,5,14,74.41,2026-05-13 14:51:57,15.804327375352777
64,25.22,7,1.2,4,11,97.93,2026-05-13 14:51:57,15.451853364648217
65,55.61,2,1.1,1,4,102.29,2026-05-13 14:51:57,32.61902434255548
66,53.06,10,1.4,3,18,145.64,2026-05-13 14:51:57,21.859379291403464
67,11.59,3,2.0,1,4,61.01,2026-05-13 14:51:57,11.398131453860024
68,103.54,3,1.8,2,9,177.41,2026-05-13 14:51:57,35.01719181556846
69,98.84,1,1.6,4,6,152.94,2026-05-13 14:51:57,38.77599058454296
70,9.68,4,1.4,4,10,69.34,2026-05-13 14:51:57,8.376117680992213
71,65.3,1,1.4,2,20,114.02,2026-05-13 14:51:57,34.3623925627083
72,85.19,3,1.9,5,20,159.21,2026-05-13 14:51:57,32.104767288486904
73,104.66,3,1.7,2,18,175.14,2026-05-13 14:51:57,35.85474477560809
74,148.54,3,1.7,2,14,228.38,2026-05-13 14:51:57,39.02443296260618
75,75.38,2,1.1,5,12,136.16,2026-05-13 14:51:57,33.21680376028202
76,77.61,10,1.1,6,10,179.33,2026-05-13 14:51:57,25.966653655272403
77,98.31,8,1.1,1,5,191.82,2026-05-13 14:51:57,30.750703784798247
78,103.8,10,1.5,4,15,218.79,2026-05-13 14:51:57,28.46565199506376
79,145.38,7,1.3,1,19,244.72,2026-05-13 14:51:57,35.64400130761687
80,60.2,8,1.5,3,21,146.02,2026-05-13 14:51:57,24.73633748801534
81,40.53,4,1.2,4,21,106.83,2026-05-13 14:51:57,22.763268744734628
82,106.46,5,1.4,5,10,196.18,2026-05-13 14:51:57,32.55989397492099
83,48.03,8,1.8,4,5,146.94,2026-05-13 14:51:57,19.612086565945287
84,57.85,7,1.3,3,14,131.2,2026-05-13 14:51:57,26.45579268292683
85,70.51,7,1.6,0,6,159.01,2026-05-13 14:51:57,26.605873844412308
86,21.51,5,1.9,0,2,81.85,2026-05-13 14:51:57,15.76786805131338
87,71.7,8,1.6,6,3,162.56,2026-05-13 14:51:57,26.464074803149607
88,24.79,7,1.8,4,22,101.33,2026-05-13 14:51:57,14.678772328037105
89,88.35,5,1.7,6,13,159.15,2026-05-13 14:51:57,33.30819981149858
90,23.64,4,1.5,4,0,74.23,2026-05-13 14:51:57,19.108177286811262
91,31.93,9,1.5,5,3,111.72,2026-05-13 14:51:57,17.148227712137487
92,14.56,2,1.3,1,2,67.81,2026-05-13 14:51:57,12.883055596519688
93,94.09,5,1.8,2,21,172.19,2026-05-13 14:51:57,32.78587606713514
94,128.62,9,1.6,4,6,244.76,2026-05-13 14:51:57,31.529661709429647
95,14.41,1,1.6,6,6,53.8,2026-05-13 14:51:57,16.070631970260223
